# number / title	text	type	code	data
Vastaavaa				
__Pysyvät vastaavat				
2890	Muut tulojäämät (siirtosaamiset)	ASSET		
2895	Ostojen alennukset (siirtosaamiset)	ASSET		
2900	Laskennalliset kurssitappiot (siirtosaamiset)	ASSET		
2905	Arvonlisäverosaamiset ennakkomaksuista (siirtosaamiset)	ASSET	VAT_DELAYED_RECEIVABLE	
2910	Veronhyvityssaamiset (siirtosaamiset)	ASSET	TAX_DELAYED_REFUND	
2915	Muut siirtosaamiset	ASSET		
_____Laskennalliset verosaamiset				
2920	Laskennalliset verosaamiset	ASSET		
___Rahat ja pankkisaamiset				
____Rahat				
3000	Käteisvarat	ASSET		
3005	Valuuttakassat	ASSET		
____Pankkisaamiset				
_____Pankkitilit				
3010	Pankkitili 1	ASSET		
3012	Pankkitili 2	ASSET		
3020	Nordea	ASSET	__CASH	{"plugin": "NordeaImport"}
_____Osakevälittäjien valuuttatilit				
3050	Nordnet EUR	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "NordnetImport"}
30501	Nordnet CAD	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "NordnetImport", "currency": "CAD"}
30502	Nordnet DKK	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "NordnetImport", "currency": "DKK"}
30503	Nordnet NOK	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "NordnetImport", "currency": "NOK"}
30504	Nordnet SEK	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "NordnetImport", "currency": "SEK"}
30505	Nordnet USD	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "NordnetImport", "currency": "USD"}
3052	Lynx EUR	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport"}
305201	Lynx AUD	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "AUD"}
305202	Lynx CNH	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "CNH"}
305203	Lynx DKK	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "DKK"}
305204	Lynx GBP	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "GBP"}
305205	Lynx HKD	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "HKD"}
305206	Lynx ILS	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "ILS"}
305207	Lynx JPY	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "JPY"}
305208	Lynx CAD	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "CAD"}
305209	Lynx MXN	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "MXN"}
305210	Lynx NZD	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "NZD"}
305211	Lynx NOK	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "NOK"}
305212	Lynx PLN	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "PLN"}
305213	Lynx RUB	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "RUB"}
305214	Lynx SEK	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "SEK"}
305215	Lynx CHF	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "CHF"}
305216	Lynx SGD	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "SGD"}
305217	Lynx ZAR	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "ZAR"}
305218	Lynx KRW	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "KRW"}
305219	Lynx CZK	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "CZK"}
305220	Lynx HUF	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "HUF"}
305221	Lynx USD	ASSET	___CASH_AT_STOCK_BROKER	{"plugin": "LynxImport", "currency": "USD"}
_____Kryptovälittäjien valuuttatilit		ASSET		
3300	Coinbase EUR	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "CoinbaseImport"}
33001	Coinbase USD	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "CoinbaseImport", "currency": "USD"}
33002	Coinbase GBP	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "CoinbaseImport", "currency": "GBP"}
3302	Kraken EUR	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "KrakenImport"}
33021	Kraken AUD	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "KrakenImport", "currency": "AUD"}
33022	Kraken CAD	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "KrakenImport", "currency": "CAD"}
33023	Kraken CHF	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "KrakenImport", "currency": "CHF"}
33024	Kraken GBP	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "KrakenImport", "currency": "GBP"}
33025	Kraken JPY	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "KrakenImport", "currency": "JPY"}
33026	Kraken USD	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "KrakenImport", "currency": "USD"}
