# number / title	text	type	code	data
Vastaavaa				
__Pysyvät vastaavat				
___Aineettomat hyödykkeet				
____Perustamismenot				
1521	Valmiit tuotteet	ASSET		
____Tavarat				
1531	Tavarat	ASSET		
1533	Matkalla olevat tavarat	ASSET		
____Muu vaihto-omaisuus				
1541	Kiinteistöt	ASSET		
1543	Arvopaperit	ASSET		
1549	Muu vaihto-omaisuus	ASSET		
____Ennakkomaksut				
1551	Ennakkomaksut vaihto-omaisuudesta	ASSET		
___Pitkäaikaiset saamiset				
_____Myyntisaamiset				
1601	Pitkäaikaiset myyntisaamiset	ASSET		
1621	Pitkäaikaiset valuuttamääräiset myyntisaamiset	ASSET		
1623	Pitkäaikaiset osamaksusaamiset	ASSET		
_____Saamiset saman konsernin yrityksiltä				
1631	Pitkäaikaiset konsernimyyntisaamiset	ASSET		
1633	Pitkäaikaiset konsernisiirtosaamiset	ASSET		
1635	Pitkäaikaiset konsernilainasaamiset	ASSET		
1639	Pitkäaikaiset muut konsernisaamiset	ASSET		
_____Saamiset omistusyhteysyrityksiltä				
1641	Pitkäaikaiset omistusyhteysyritysmyyntisaamiset	ASSET		
1643	Pitkäaikaiset omistusyhteysyrityssiirtosaamiset	ASSET		
1645	Pitkäaikaiset omistusyhteysyrityslainasaamiset	ASSET		
1649	Pitkäaikaiset muut omistusyhteysyrityssaamiset	ASSET		
_____Lainasaamiset				
1651	Pitkäaikaiset saamiset työntekijöiltä	ASSET		
1653	Pitkäaikaiset saamiset johdolta	ASSET		
1655	Pitkäaikaiset saamiset osakkailta ja omaisilta	ASSET		
1656	Pitkäaikaiset saamiset osakkailta ja omaisilta (veronalaiset)	ASSET		
1657	Pitkäaikaiset muut lähipiirilainat	ASSET		
1659	Pitkäaikaiset muut lainasaamiset	ASSET		
_____Muut saamiset				
1665	Pitkäaikaiset vakuustalletukset	ASSET		
1667	Pitkäaikaiset maksetut vuokravakuudet	ASSET		
1669	Pitkäaikaiset muut saamiset	ASSET		
_____Maksamattomat osakkeet/osuudet				
1671	Pitkäaikaiset maksamattomat osakkeet / osuudet	ASSET		
_____Siirtosaamiset				
1681	Pitkäaikaiset siirtosaamiset	ASSET		
_____Laskennalliset verosaamiset				
1691	Pitkäaikaiset laskennalliset verosaamiset	ASSET		
___Lyhytaikaiset saamiset				
_____Myyntisaamiset				
1701	Myyntisaamiset 1	ASSET		
1702	Myyntisaamiset 2	ASSET		
1703	Myyntisaamiset 3	ASSET		
1705	Myymäläsaamiset	ASSET		
1707	Provisiosaamiset	ASSET		
1711	Luottokorttisaamiset	ASSET		
1713	Pankkikorttisaamiset	ASSET		
1715	Myyntisaamiset ennakkolaskuista	ASSET		
1717	Factoring-myyntisaamiset matkalla	ASSET		
1718	Factoring-myyntisaamiset laskutili	ASSET		
1719	Factoring-osamaksusaamiset	ASSET		
1721	Myyntisaamiset, valuuttamääräiset	ASSET		
1723	Osamaksusaamiset	ASSET		
1727	Siirtyvät myyntisaamiset/selvittelytili	ASSET		
1729	Muut myyntisaamiset	ASSET		
_____Saamiset saman konsernin yrityksiltä				
1731	Konsernimyyntisaamiset	ASSET		
1733	Konsernisiirtosaamiset	ASSET		
1735	Konsernilainasaamiset	ASSET		
1739	Muut konsernisaamiset	ASSET		
_____Saamiset omistusyhteysyrityksiltä				
1741	Omistusyhteysyritysmyyntisaamiset	ASSET		
1743	Omistusyhteysyrityssiirtosaamiset	ASSET		
1745	Omistusyhteysyrityslainasaamiset	ASSET		
1749	Muut omistusyhteysyrityssaamiset	ASSET		
_____Lainasaamiset				
1751	Saamiset työntekijöiltä	ASSET		
1753	Saamiset johdolta	ASSET		
1755	Saamiset osakkailta ja omaisilta	ASSET		
1756	Saamiset osakkailta ja omaisilta (veronalaiset)	ASSET		
1757	Muut lähipiirilainat	ASSET		
1759	Muut lainasaamiset	ASSET		
_____Muut saamiset				
1761	Verosaamiset	ASSET		
1763	Arvonlisäverosaamiset	ASSET	VAT_RECEIVABLE	
1764	Anotut arvonlisäveropalautukset	ASSET		
1765	Vakuustalletukset	ASSET		
1767	Maksetut vuokravakuudet	ASSET		
1769	Kuluennakot työntekijöille	ASSET		
1771	Vahingonkorvaussaamiset	ASSET		
1777	Selvittelytili	ASSET		
1779	Muut saamiset	ASSET		
_____Maksamattomat osakkeet/osuudet				
1781	Osakemerkintäsaamiset	ASSET		
1783	Maksamattomat osuudet	ASSET		
_____Siirtosaamiset				
1801	Palkkamenot (siirtosaamiset)	ASSET		
1803	Eläkevakuutusmaksut (siirtosaamiset)	ASSET		
1804	Sosiaaliturvamaksut (siirtosaamiset)	ASSET		
1805	Työnantajan pakolliset vakuutusmaksut (siirtosaamiset)	ASSET		
1809	Vuokramenot (siirtosaamiset)	ASSET		
1811	Korkomenot (siirtosaamiset)	ASSET		
1813	Tuloverot (siirtosaamiset)	ASSET		
1819	Muut menoennakot (siirtosaamiset)	ASSET		
1831	Vuokratulot (siirtosaamiset)	ASSET		
1833	Korkotulot (siirtosaamiset)	ASSET		
1837	Valmistusasteen mukaiset tulot (siirtosaamiset)	ASSET		
1839	Muut tulojäämät (siirtosaamiset)	ASSET		
1841	Ostojen alennukset (siirtosaamiset)	ASSET		
1843	Laskennalliset kurssitappiot (siirtosaamiset)	ASSET		
1845	Arvonlisäverosaamiset ennakkomaksuista (siirtosaamiset)	ASSET	VAT_DELAYED_RECEIVABLE	
1847	Veronhyvityssaamiset (siirtosaamiset)	ASSET		
1849	Muut siirtosaamiset	ASSET		
_____Laskennalliset verosaamiset				
1851	Laskennalliset verosaamiset	ASSET		
___Rahoitusarvopaperit				
____Osuudet saman konsernin yrityksissä				
1861	Tytäryritysten osakkeet (rahoitusomaisuus)	ASSET		
1863	Emoyrityksen osakkeet (rahoitusomaisuus)	ASSET		
1865	Sisaryritysten osakkeet (rahoitusomaisuus)	ASSET		
1867	Muut konserniosuudet (rahoitusomaisuus)	ASSET		
____Omat osakkeet				
1871	OYJ:n (pörssinoteerattu) omat osakkeet (rahoitusomaisuus)	ASSET		
____Muut osakkeet ja osuudet				
1881	Muut osakkeet ja osuudet (rahoitusomaisuus)	ASSET		
____Muut arvopaperit				
1891	Muut rahoitusarvopaperit	ASSET		
___Rahat ja pankkisaamiset				
____Rahat				
1900	Käteisvarat	ASSET		
1905	Valuuttakassat	ASSET		
____Pankkisaamiset				
1910	Pankkitili 1	ASSET		
1919	Pankkitili 1 shekkitililimiitti	ASSET		
1920	Pankkitili 2	ASSET		
1929	Pankkitili 2 shekkitililimiitti	ASSET		
1930	Pankkitili 3	ASSET		
1940	Pankkitili 4	ASSET		
1950	Pankkitili 5	ASSET		
1960	Lyhytaikaiset talletukset	ASSET		
1961	Lyhytaikaiset lähdeveronalaiset talletukset	ASSET		
1970	Sijoitustili	ASSET		
1984	Valuuttatili	ASSET		
1986	Valuuttatalletukset	ASSET		
____Rahansiirrot ja täsmäytykset				
1991	Täsmäytykset	ASSET		
1995	Rahansiirrot matkalla	ASSET		
1996	Virhemaksut	ASSET		
Vastattavaa				
__Oma pääoma				
___Osakepääoma				
2001	Osakepääoma	EQUITY		
2011	Osakeanti	EQUITY		
2021	Ylikurssirahasto	EQUITY		
2031	Arvonkorotusrahasto	EQUITY		
___Muut rahastot				
2051	Vararahasto	EQUITY		
2061	Yhtiöjärjestyksen mukainen rahasto	EQUITY		
2071	Muut rahastot	EQUITY		
___Osuuspääoma				
2101	Osuuspääoma	EQUITY		
2103	Lisäosuuspääoma	EQUITY		
___Pääomapanokset				
2151	Pääomapanos, yhtiömies A	EQUITY		
2153	Pääomapanos, yhtiömies B	EQUITY		
2181	Äänettömän yhtiömiehen C panos	EQUITY		
2183	Äänettömän yhtiömiehen D panos	EQUITY		
___Peruspääoma (tmi)				
2201	Peruspääoma (tmi)	EQUITY		
___Edellisten tilikausien voitto (tappio)				
2251	Edellisten tilikausien voitto/tappio	PROFIT_PREV		
2261	Osingonjako	EQUITY		
2265	Omista osakkeista maksettu määrä	EQUITY		
2271	Osuuskorot	EQUITY		
2291	Voitto-osuus yhtiömies A	EQUITY		
2293	Voitto-osuus yhtiömies B	EQUITY		
2311	Voitto-osuus vastuunalainen yhtiömies A	EQUITY		
2313	Voitto-osuus vastuunalainen yhtiömies B	EQUITY		
2321	Voitto-osuus äänetön yhtiömies C	EQUITY		
2323	Voitto-osuus äänetön yhtiömies D	EQUITY		
___Pääomavajaus				
2331	Pääomavajaus	EQUITY		
___Yksityistilit tilikaudella				
2341	Yksityissijoitukset rahana yhtiömies A	EQUITY		
2343	Muut yksityissijoitukset yhtiömies A	EQUITY		
2345	Yksityissijoitukset rahana yhtiömies B	EQUITY		
2347	Muut yksityissijoitukset  yhtiömies B	EQUITY		
2351	Yksityisnostot rahana yhtiömies A	EQUITY		
2353	Muut yksityisnostot yhtiömies A	EQUITY		
2355	Yksityisnostot rahana yhtiömies B	EQUITY		
2357	Muut yksityisnostot  yhtiömies B	EQUITY		
2361	Yksityissijoitukset rahana	EQUITY		
2363	Muut yksityissijoitukset	EQUITY		
2365	Yksityisnostot rahana	EQUITY		
2367	Muut yksityisnostot	EQUITY		
___Pääomalainat				
2381	Pääomalaina	LIABILITY		
__Tilinpäätössiirtojen kertymä				
___Poistoero				
2401	Perustamismenojen poistoero	LIABILITY		
2403	Tutkimusmenojen poistoero	LIABILITY		
2405	Kehittämismenojen poistoero	LIABILITY		
2407	Aineettomien oikeuksien poistoero	LIABILITY		
2411	Liikearvon poistoero	LIABILITY		
2421	Muiden pitkävaikutteisten menojen poistoero	LIABILITY		
2431	Rakennusten poistoero	LIABILITY		
2441	Koneiden ja kaluston poistoero	LIABILITY		
2449	Muiden aineellisten hyödykkeiden poistoero	LIABILITY		
___Vapaaehtoiset varaukset				
2451	Käyttöomaisuuden jälleenhankintavaraus	LIABILITY		
2453	Toimitilan jälleenhankintavaraus	LIABILITY		
2461	Luottotappiovaraus	LIABILITY		
2471	Takuuvaraus	LIABILITY		
2481	Toimintavaraus	LIABILITY		
2491	Hankintamenon muutosvaraus	LIABILITY		
2493	Asuintalovaraus	LIABILITY		
2499	Muut vapaaehtoiset varaukset	LIABILITY		
__Pakolliset varaukset				
___Eläkevaraukset				
2501	Eläkevaraukset	LIABILITY		
___Verovaraukset				
2531	Verovaraukset	LIABILITY		
___Muut pakolliset varaukset				
2551	Oikeudenkäyntivaraus	LIABILITY		
2561	Hinnanlaskuvaraus	LIABILITY		
2571	Pitkäaikaishankkeiden pakolliset varaukset	LIABILITY		
2581	Muut pakolliset varaukset	LIABILITY		
__Konsernireservi				
2591	Konsernireservi	LIABILITY		
__Vieras pääoma				
___Pitkäaikainen vieras pääoma				
____Joukkovelkakirjalainat				
2601	Pitkäaikaiset joukkovelkakirjalainat	LIABILITY		
2603	Pitkäaikaiset obligaatiolainat	LIABILITY		
2605	Pitkäaikaiset debentuurilainat	LIABILITY		
2609	Muut joukkovelkakirjalainat	LIABILITY		
____Vaihtovelkakirjalainat				
2611	Pitkäaikaiset vaihtovelkakirjalainat	LIABILITY		
____Lainat  rahoituslaitoksilta				
2621	Pitkäaikainen rahoituslaitoslaina 1	LIABILITY		
2622	Pitkäaikainen rahoituslaitoslaina 2	LIABILITY		
2623	Pitkäaikainen rahoituslaitoslaina 3	LIABILITY		
2631	Pitkäaikainen rahoitusyhtiölaina 1	LIABILITY		
2632	Pitkäaikainen rahoitusyhtiölaina 2	LIABILITY		
2633	Pitkäaikainen rahoitusyhtiölaina 3	LIABILITY		
2639	Pitkäaikainen factoringluottotili	LIABILITY		
2641	Pankki 1 shekkitililimiitti	LIABILITY		
2642	Pankki 2 shekkitililimiitti	LIABILITY		
